正字,異体字
塩,鹽
麥,麦
麥,麦
麩,麸
麪,麺
麩,麸
麪,麺
粘,黏
默,黙
默,黙
点,點
党,黨
鰲,鼇
皷,鼓
鼠,鼡
鼠,鼡
斉,齊
斎,齋
韲,齏
歯,齒
齡,齢
齡,齢
囓,齧
竜,龍
亀,龜
秋,龝
穐,龝
籥,龠
