正字,異体字
撲,擈
撃,擊
晩,晚
斗,枓
櫃,樻
毀,毁
得,淂
嗽,潄
恢,烣
亟,焏
烽,熢
執,犱
盆,瓫
産,產
示,礻
年,秊
牢,窂
芒,笀
算,笇
算,筭
芽,笌
苳,笗
緒,緖
承,羕
羨,羡
脱,脫
節,莭
暫,蹔
鳳,鳯
麹,麴
麼,麽
癸,关
簡,蕳
閏,閠
閏,壬
園,薗
園,苑
歌,謌
歌,哥
旗,籏
旗,簱
競,竸
競,竞
尭,堯
跡,蹟
跡,迹
湧,涌
遥,遙
累,縲
墻,牆
墻,墙
郎,郞
悦,悅
惧,懼
芻,蒭
襪,韈
A,Á
A,À
A,Â
A,Ä
A,Ã
A,Å
A,Æ
A,Ā
a,á
a,à
a,â
a,ä
a,ã
a,å
a,æ
a,ā
E,É
E,È
E,Ê
E,Ë
E,Ē
e,é
e,è
e,ê
e,ë
e,ē
I,Í
I,Ì
I,Î
I,Ï
I,Ī
i,í
i,ì
i,î
i,ï
i,ī
O,Ó
O,Ò
O,Ô
O,Ö
O,Õ
O,Œ
O,Ø
O,Ō
o,ó
o,ò
o,ô
o,ö
o,õ
o,œ
o,ø
o,ō
U,Ú
U,Ù
U,Û
U,Ü
U,Ū
u,ú
u,ù
u,û
u,ü
u,ū
Y,Ý
Y,Ÿ
y,ý
y,ÿ
C,Ç
c,ç
N,Ñ
n,ñ
s,ß
